Decade,Month,Mean
1920,April,-0.28939166666666666
1920,August,-0.22599166666666667
1920,December,-0.29995
1920,February,-0.2687
1920,January,-0.21994166666666667
1920,July,-0.26953333333333335
1920,June,-0.30955
1920,March,-0.24750833333333333
1920,May,-0.283125
1920,November,-0.116075
1920,October,-0.17814166666666667
1920,September,-0.21246666666666666
1930,April,-0.18242
1930,August,-0.09906
1930,December,-0.106365
1930,February,-0.140155
1930,January,-0.166715
1930,July,-0.11648499999999999
1930,June,-0.15729500000000002
1930,March,-0.20335999999999999
1930,May,-0.166215
1930,November,-0.06939000000000001
1930,October,-0.038735
1930,September,-0.08887999999999999
1940,April,0.046895000000000006
1940,August,0.01372
1940,December,-0.048170000000000004
1940,February,0.0055
1940,January,0.06972500000000001
1940,July,0.01014
1940,June,-0.030675
1940,March,-0.02216
1940,May,0.031585
1940,November,0.014950000000000001
1940,October,0.08012
1940,September,-0.004769999999999997
1950,April,-0.070845
1950,August,-0.03443
1950,December,-0.071065
1950,February,-0.10055499999999999
1950,January,-0.05931500000000001
1950,July,-0.05031
1950,June,-0.04479
1950,March,-0.122285
1950,May,-0.059975
1950,November,-0.102485
1950,October,-0.042465
1950,September,-0.050734999999999995
1960,April,-0.110015
1960,August,-0.050665
1960,December,-0.079645
1960,February,-0.073545
1960,January,-0.12062500000000001
1960,July,-0.06149
1960,June,-0.04925
1960,March,-0.111215
1960,May,-0.08691499999999999
1960,November,-0.05671
1960,October,-0.039755
1960,September,-0.06952
1970,April,0.013735000000000002
1970,August,-0.03204
1970,December,-0.010865
1970,February,-0.041925000000000004
1970,January,-0.014214999999999997
1970,July,-0.020495000000000003
1970,June,-0.013539999999999996
1970,March,-0.008845
1970,May,-0.001900000000000001
1970,November,-0.00583
1970,October,-0.035625
1970,September,-0.004270000000000005
1980,April,0.19163
1980,August,0.206765
1980,December,0.209185
1980,February,0.26217
1980,January,0.262695
1980,July,0.19218
1980,June,0.165235
1980,March,0.23237999999999998
1980,May,0.21532
1980,November,0.14035
1980,October,0.1571
1980,September,0.19866999999999999
1990,April,0.38047
1990,August,0.32326
1990,December,0.325705
1990,February,0.45045
1990,January,0.363985
1990,July,0.3508
1990,June,0.38117999999999996
1990,March,0.40441000000000005
1990,May,0.32385
1990,November,0.32403
1990,October,0.320975
1990,September,0.27117
2000,April,0.56124
2000,August,0.5457099999999999
2000,December,0.535765
2000,February,0.561195
2000,January,0.562465
2000,July,0.5222249999999999
2000,June,0.50202
2000,March,0.60944
2000,May,0.51195
2000,November,0.6075
2000,October,0.569875
2000,September,0.558975
2010,April,0.795245
2010,August,0.7715650000000001
2010,December,0.7612300000000001
2010,February,0.779185
2010,January,0.75722
2010,July,0.705885
2010,June,0.70651
2010,March,0.8561400000000001
2010,May,0.741665
2010,November,0.801765
2010,October,0.816605
2010,September,0.743915
2020,April,0.9373333333333334
2020,August,0.9341375
2020,December,0.910175
2020,February,0.9256777777777777
2020,January,0.915511111111111
2020,July,0.9573333333333333
2020,June,0.9237555555555557
2020,March,1.0462777777777776
2020,May,0.8779555555555556
2020,November,1.007025
2020,October,1.0117
2020,September,1.0183625
